kode_kabupaten_kota,titik_longitude,titik_latitude
3201.0,106.943229,-6.419667
3202.0,106.726667,-6.924444
3203.0,107.133884,-6.808453
3204.0,107.619125,-7.000834
3205.0,107.960833,-7.2275
3206.0,108.201483,-7.3506
3207.0,108.351623,-7.340407
3208.0,108.454429,-7.028047
3209.0,108.69838,-6.909986
3210.0,108.188,-7.048993
3211.0,108.220833,-6.8425
3212.0,107.949444,-6.477028
3213.0,107.636211,-6.293275
3214.0,107.446042,-6.573098
3215.0,107.1419,-6.289
3216.0,106.97803,-6.14038
3217.0,107.544358,-6.828014
3218.0,108.5119,-7.613053
3279.0,108.543615,-7.377383
3271.0,106.793240,-6.596400
3272.0,106.927240,-6.918970
3273.0,107.619123,-6.917464
3274.0,108.552316,-6.732024
3275.0,106.989600,-6.234897
3276.0,106.828304,-6.402484
3277.0,107.541899,-6.872020
3278.0,108.2202, -7.3274
